search_keyword,title,source,country,bias,final_score,vader_score,sentistrength_score,google_score,huggingface_score,sentiment,url,analysis_time
W.T.O,The list of the world’s top 20 most polluted cities is out. All but one are in Asia,CNN,US,liberal,0.40340999821186063,0.19469999999999998,0.6,0.3499999940395355,0.0013088583946228027,부정적,https://news.google.com/rss/articles/CBMinAFBVV95cUxNVWVlMlY1NHBTZ1F3SXpCbWVxQ1hXWXBmLWVTbllfMHRDNmFYWEN1ejlOT3g2VGVsUkpqRTdGQmFQWUd2Uk1JSFVtVUI5cHAxYVdjYUZLNzZSbERMMC1oV1FxZzRUNXl3YkZuSnpWamZjVHRIZzVNd0N5OXIxODhXVjJBR2hmZW5lUnFvWW9fWnlDOTFQem9fc0gya3fSAZMBQVVfeXFMUFNoaXp3UlFkOXI0ajI2QjdpdmtUV0lqNEJzMHROVmpIN0xaYTQzd2tXN2RnSGtnbGUyYk9hNkFidGlOZ0JRX3EtbnRlRk5MTXFRQ1JrWjZxRjNHbkhibDZlenRua1hUZlZzLUJRZWpGVzdsNlI1UVB6WXI4UWY0SFVTRzFCMzFBUzNxcnpUX0toOHlr?oc=5,2025-03-12 01:54:33
W.T.O,The world is beginning to tire of Trump’s whiplash leadership,CNN,US,liberal,0.4699999995529651,0.5,0.5,0.3999999985098839,0.005982637405395508,중립적,https://news.google.com/rss/articles/CBMinAFBVV95cUxPVVpZTEtfM1FTd0hJa0FsNXp1WFZwYmxvRFhieTEtMnVITXlmU3A3WUROTUV3cVcxVTdFb2pUSUhmUFNrVGdTVkF6VmpDUjUwalltUGdKZ1E4OVZxTk9tZTFadHBYUWMzYVN5amhQZ3JpTHlJWnl0Z0xEczhuUENWV1BRRGY2OTA0NXlnY0ZxQ2xjNXVkM2pvc2ViY2HSAZMBQVVfeXFMT3BxWFdqMXZocERybE5CaEozRXRlVHdmWThoVmlkQ3ZuUVF4LW1VNEpLLTRvMkNydkc3RzVTUXlxOVZsazlEQzlLUVE2SGx0U2Q3cTNrNF9saTVwV2tkb3p5WS14SzQ0U2NxajZ2Y1Q3VzlGT1RXTC1sbFJOVVVRaXEyWURoeVhmLXhiLWxTdTB0MkR3?oc=5,2025-03-12 01:54:33
W.T.O,Trump creates White House task force to oversee preparations for 2026 World Cup,CNN,US,liberal,0.5740850000000001,0.74695,0.5,0.5,0.006222367286682129,긍정적,https://news.google.com/rss/articles/CBMihwFBVV95cUxOWWlxQVhiMFVPLWMwQ2pLNFYtVUg3bVdhWEVkTURoQnd5bHVYcEduWU5vZUVLcDRTRHZTRjVJRmdLU1FDeXQ1aTJPZlctRUdZN0tFMmpNWXRUcHBLeFlocVJ6UzZJY2d2Z0tBdDNoWlNON1M3TTUzMF8xeXRQSHYtNlN3Z281bzjSAX5BVV95cUxNNXpCTmFzQ1NvZDJtUWtvQ3p6bm9OMUFERXhqUzJ2ZDNNTDBYVW1ibnlBVS11ZlFBS2VZWlZYQnNkT2JqSVh6LWJQOGZjMnMzT1NycmtOQTBrcnVmaE5DdGNvelhVbjdkbTc4V2I3aGFIZWt5ZWkyWGJhN1BzNHc?oc=5,2025-03-12 01:54:33
W.T.O,Trump says tariff tension will make 2026 World Cup 'more exciting',Fox News,US,conservative,0.5508600002235173,0.4862,0.6,0.5500000007450581,0.03774666786193848,긍정적,https://news.google.com/rss/articles/CBMilAFBVV95cUxOemJQZmtJMXh2T0czS1lxOEVidjNhTmE2bEJNYWotU2FjMTZRQkdNaGNwNnFQRVJ3MWF6Z1BQQ2dXVmRhN1lueDNpWVRNa2VNZHJDY3g0S3M1N2RGVXBkcUIxcHNlUEZXb1hfZDVPWkRUbmhmUEJfMDJOUFlkakkxU0pjamxaR00xWXJYX05qVTJIeXdt0gGaAUFVX3lxTE5yWkRxYmhmS09ocnJEV1lKMkhzUmJ2eXQwOWROM0Y5dWpWcjYxS2JVek9VcW5GN3JrRDE4MWhXWEZFTjNBa1BCdFNqNnpkcUt2bS16Z0hKYnVWREc2eFBtTGxDcXNKai14WUM2RlpPRjJxb3R3WVhWMFpMWTFjRVRHWEdyRmFzWnBpUnZmQjl2V296MzBMdzFvUWc?oc=5,2025-03-12 01:54:33
W.T.O,Trump to sign executive order establishing White House Task Force for 2026 FIFA World Cup,Fox News,US,conservative,0.49044468164443966,0.5,0.7,0.5,0.1522234082221985,중립적,https://news.google.com/rss/articles/CBMiswFBVV95cUxORHdwYzdsRnVGUC1LN3RKOW52NGVfUER0d3ZRbkEyN00wdHRFMUtsdE5IRjcwcG9ESHprUWlpNmZWUVREeWVWVU9Nc05rM1VHeGFna2lOU1JmcEZXZVZITEtjci1nWUY2ODQwRFB2TERFWFViWlp4TjNvYld6ejQ2bVdFTzRNYXFxQWtKYWwzWWlYMWZRUHdCWWhSWTJZWmhTakhFUURXX3pyTFY2c190cEFiONIBuAFBVV95cUxNUndnTkJITHBTcXNJYVFacWxlNDl6MWRvaUtpYW5uOER5bEJ1bUJUYklTN3NwbUd5TFgxaXpIbUNqYUx1dGlVbnNDSk9ER09CVmJKUWh2dzJ1MHBmOXoyWnZZNlc5bjF2S242alJnMFZaZzJCN2lBYTZaamJYLUxQRXRSenFKVjQxZW9hdzZiRU1hMHdNUm1yVmFkd0JvRHVRZkJ4VnZzZ2hjOGtTRlZ3d0gtdmFhZGZn?oc=5,2025-03-12 01:54:33
W.T.O,Chinese humanoid robot lands world's first front flip,Fox News,US,conservative,0.58,0.5,0.7,0.5,0.0017467141151428223,긍정적,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQUXh6UU80blFFaVZ2ci0zVjZvLVpYTlFNTXpCSmNPTHgyd3NiaWFTRFNZOG1vWTFsQlNPRGJfWDRfZzN5MlZmYmViYTF2WEZfZ1FvWDVkUmljeHZQN3FQZUtmM1I4czdZU2NmOWU1X25id3hwOUpPSnhTWXQ4dXVHOFNmTHhLTlF40gGOAUFVX3lxTE5WZWw4ZlJ4MHBNanFYYk9rV1BhSEtWdDNDcWQ4SDd2NkpoMFNiTENwMkRTR2VMZWRCTVdUUlpDbWZUNnJXOERxeWd4a05zYnFMTFN2a1lmU1NGbDRqaFlNSFd3aHdxMUxiQVRTOEY5ekZYVG01Yzc0ZjlfS0l6MGZOLUsyUTJ6QWZDNGVrMFE?oc=5,2025-03-12 01:54:33
W.T.O,EU must brace for impact of Trump wrecking ball on global trading system | Heather Stewart,The Guardian,UK,liberal,0.5,0.5,0.5,0.5,0.0013453960418701172,중립적,https://news.google.com/rss/articles/CBMivgFBVV95cUxQVnktQzg2R2VMdTNlOVFidkxuRWJLWE1lRHJCbzB2blVDZFRrV1ZXdlVBTGhUYTFlcE81Y2pHSGJJbm1BeHh6YWU5ZnUtbTZmMzJwQzN2WHJ1cVkzenNOYm0xUW9wbktoMEh6MGZJc2RwRjg3WkZRZEdfVWd1aXh5ZjRkZ0tuY2htMDBHTzh4TFl1MWpfZW9EU2xhaC1xUlJfczR3SEhGMzdpemxhbUY0Tl9uX1l4OUN2aFVrSzRR?oc=5,2025-03-12 01:54:33
W.T.O,"Trump’s USAid cuts will have huge impact on global climate finance, data shows",The Guardian,UK,liberal,0.54774,0.5258,0.6,0.5,0.9235173463821411,중립적,https://news.google.com/rss/articles/CBMixwFBVV95cUxPc09qY0VVejZZb2h4Z1NNUVJCUjMzQjYtZ283Yld2c2c3U1Y5bjliajBuQVlTRmMzU1NTQi1uRHZyUVNnMl9KUnJHamo5SnE0N2JEQ1NDcjlJRlBPZ1Z5RjFnN2lZcDlLT21GVlJlemhkUjRvcnNJRy1WVnFKOTV5LU5jZHFuUVJTOEZiU0d1RGs3MVFCc0VWVFBKZDgyeWJJRWU3WjBMYXFuY1FiNkNpQjVRRnlEU2F5MDZlT1ZQWkUxMHNKenMw?oc=5,2025-03-12 01:54:33
W.T.O,"Half of world’s CO2 emissions come from 36 fossil fuel firms, study shows",The Guardian,UK,liberal,0.54,0.5,0.6,0.5,0.0019491910934448242,중립적,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQY0htQ2FfSzdId2N3UmZVcWhVWHd2dVkzUkRVZUxjU3ZFRlJycUVVaUhTT3Z6XzJwY0dGLUxnU19vV0JUTVhXOFVzY0hYbGNGTnB5Z0ZySlZ2RWItUTNsaUI5eXFRdGJLb2doakkzeXJuckFKRzhCeklqYzNNMWQ4UHd2YU11TXBLXy13XzVWODg4ajhzS1lZZmRGWndEWlFzSlNOd0tFbzc3czY2VTE3NFpZRl82T25HVVFERTliLWg?oc=5,2025-03-12 01:54:33
W.T.O,Opinion | This Is Who Loses in a Trade War,The New York Times,US,liberal,0.40235999977648257,0.0912,0.6,0.44999999925494194,0.00041872262954711914,부정적,https://news.google.com/rss/articles/CBMifEFVX3lxTE5yUTRLSVY1cGRfZDZ3Y29kajA4dlNjcVdfMnpUV2JkellFYWRiMXhUQUFhLTB0VFlWTXpHQTJnVzhtY0l0NU13TjZ2N3g2UW9ZcFBPckxGb3dhbWFnWkViQmVPaXU5d3NDNks1QnV4WlpOTmJKRUZoNGllQzY?oc=5,2025-03-12 01:54:33
